location.district,operation_type.name,property_type,build_area,longitud,latitud,years_old,bathrooms,bedrooms,garages,has_swimming_pool,usd_price
san borja,Comprar,departamento,81.0,-76.98729860000002,-12.0836644,28.0,2.0,3.0,1.0,False,140000.0
san borja,Comprar,departamento,107.0,-76.99319129999998,-12.0867985,21.0,1.0,3.0,0.0,False,573.783
miraflores,Comprar,departamento,297.0,-77.00542829999998,-12.130727499999999,13.0,2.0,3.0,2.0,False,690000.0
santiago de surco,Comprar,departamento,78.0,-77.01259639999998,-12.131799699999998,7.0,3.0,3.0,2.0,False,130000.0
lince,Comprar,departamento,85.0,-77.0286983,-12.0857485,0.0,2.0,3.0,0.0,False,158000.0
miraflores,Comprar,departamento,122.0,-77.0455343,-12.1121584,4.0,2.0,3.0,2.0,False,775.0
miraflores,Comprar,departamento,302.0,-77.03509040000002,-12.1263178,12.0,2.0,2.0,1.0,False,2200.0
miraflores,Alquilar,departamento,143.0,-77.029808,-12.127838699999998,11.0,2.0,1.0,1.0,False,420000.0
lince,Comprar,departamento,70.0,-77.0574075,-12.064896899999999,2.0,1.0,1.0,0.0,False,292.996
san isidro,Comprar,departamento,175.0,-77.0376828,-12.102975599999999,0.0,3.0,3.0,1.0,False,1500.0
san isidro,Alquilar,departamento,175.0,-77.04732810000002,-12.0941455,5.0,2.0,3.0,1.0,False,1500.0
santiago de surco,Comprar,departamento,166.0,-76.9764124,-12.1288893,11.0,3.0,3.0,2.0,False,240000.0
santiago de surco,Comprar,departamento,85.0,-76.967945,-12.1049319,27.0,1.0,2.0,0.0,False,537.159
santiago de surco,Alquilar,departamento,65.0,-76.9568175,-12.1084644,15.0,2.0,3.0,1.0,False,93000.0
santiago de surco,Comprar,departamento,60.0,-76.960621,-12.106970656026895,13.0,3.0,5.0,3.0,False,390.661
santiago de surco,Alquilar,departamento,254.0,-76.98904,-12.118315300200967,15.0,2.0,3.0,1.0,False,435000.0
santiago de surco,Comprar,casa,90.0,-76.963899,-12.1075323,22.0,4.0,4.0,3.0,False,463.91
santiago de surco,Comprar,casa,80.0,-76.958973,-12.105996143038135,6.0,4.0,4.0,4.0,False,329.62
santiago de surco,Comprar,departamento,60.0,-76.958384,-12.107157088351677,16.0,2.0,2.0,1.0,False,317.412
santiago de surco,Comprar,departamento,1.0,-76.96922479999998,-12.1096521,17.0,2.0,3.0,1.0,False,31000.0
san isidro,Alquilar,departamento,135.0,-77.012745,-12.100935377432526,8.0,2.0,3.0,0.0,False,537.159
san borja,Alquilar,departamento,110.0,-76.987673,-12.108543176224787,12.0,3.0,3.0,2.0,True,175000.0
magdalena,Comprar,departamento,70.0,-77.05722229999998,-12.096183400000001,7.0,3.0,3.0,2.0,True,183500.0
lurin,Alquilar,departamento,45.0,-76.83941039999998,-12.310246099999999,0.0,1.0,2.0,0.0,False,118000.0
san isidro,Alquilar,casa,104.0,-77.0302016,-12.1011983,31.0,2.0,3.0,1.0,False,304500.0
miraflores,Alquilar,departamento,122.0,-77.035042,-12.125033115359328,5.0,3.0,2.0,1.0,False,231954.83
surquillo,Comprar,departamento,94.0,-77.0210611,-12.102974099999999,30.0,1.0,2.0,0.0,False,200000.0
san borja,Alquilar,departamento,120.0,-77.000558,-12.10198663669374,5.0,1.0,1.0,0.0,False,265000.0
san miguel,Comprar,casa,150.0,-77.0973193,-12.077955900000001,4.0,5.0,5.0,2.0,True,459900.0
pueblo libre,Alquilar,departamento,173.0,-77.0650651,-12.0700773,4.0,2.0,3.0,1.0,False,519000.0
lima,Alquilar,departamento,113.0,-77.079851,-12.050087255112492,5.0,2.0,3.0,0.0,False,213154.28
santiago de surco,Alquilar,departamento,603.0,-76.996139,-12.132550638388384,5.0,2.0,2.0,0.0,False,2800.0
santiago de surco,Comprar,departamento,165.0,-76.9558608,-12.1073424,17.0,3.0,3.0,1.0,False,1000.0
san isidro,Comprar,departamento,49.0,-77.029193,-12.096528,0.0,2.0,2.0,1.0,False,98290.249
san isidro,Comprar,departamento,49.0,-77.028959,-12.09598,0.0,1.0,1.0,0.0,False,98290.0
san isidro,Comprar,departamento,67.0,-77.02966500000001,-12.097325,0.0,2.0,3.0,1.0,False,96493.0
miraflores,Comprar,departamento,68.0,-77.02521,-12.135672999999999,0.0,3.0,3.0,3.0,False,97860.0
miraflores,Comprar,departamento,60.0,-77.015681,-12.121879,0.0,3.0,3.0,4.0,True,93621.0
santiago de surco,Comprar,departamento,67.0,-76.990335,-12.112503,0.0,2.0,3.0,2.0,False,97176.0
lima,Comprar,departamento,63.0,-77.024908,-12.142966,0.0,2.0,2.0,1.0,False,93953.0
miraflores,Comprar,departamento,105.0,-77.02770100000001,-12.133488999999999,0.0,2.0,2.0,2.0,False,1000.0
lima,Comprar,departamento,142.0,-76.999269,-12.107896,0.0,2.0,2.0,1.0,True,323000.0
lima,Comprar,departamento,267.0,-76.999269,-12.107707000000001,0.0,2.0,3.0,1.0,True,850000.0
miraflores,Comprar,departamento,155.0,-77.037079,-12.110253,0.0,2.0,3.0,2.0,False,330000.0
miraflores,Comprar,departamento,237.0,-77.02770100000001,-12.133488999999999,0.0,3.0,3.0,2.0,False,535000.0
miraflores,Comprar,departamento,103.0,-77.02171899999999,-12.121447875603465,0.0,2.0,3.0,2.0,False,850.0
san isidro,Comprar,departamento,100.0,-77.012247,-12.098524000000001,0.0,2.0,3.0,1.0,False,900.0
san miguel,Alquilar,departamento,270.0,-77.094534,-12.086363135959179,6.0,2.0,3.0,0.0,True,580000.0
la molina,Alquilar,departamento,140.0,-76.9598165,-12.068005099999999,24.0,5.0,4.0,1.0,False,220000.0
san miguel,Comprar,departamento,140.0,-77.0817833,-12.079690300000001,0.0,2.0,1.0,0.0,False,178000.0
san miguel,Comprar,departamento,146.0,-77.0817833,-12.079690300000001,0.0,2.0,1.0,0.0,False,298855.486
san miguel,Comprar,departamento,140.0,-77.0817833,-12.079690300000001,0.0,2.0,3.0,0.0,False,285000.0
san miguel,Comprar,departamento,78.0,-77.0817833,-12.079690300000001,0.0,2.0,3.0,0.0,False,173000.0
san miguel,Comprar,departamento,168.0,-77.0817833,-12.079690300000001,0.0,2.0,3.0,0.0,False,345000.0
san miguel,Comprar,departamento,124.0,-77.0817833,-12.079690300000001,0.0,2.0,3.0,0.0,False,300000.0
miraflores,Alquilar,departamento,100.0,-77.040082,-12.122947300000002,5.0,2.0,1.0,1.0,False,120000.0
miraflores,Comprar,departamento,90.0,-77.03135999999999,-12.114888865047744,1.0,2.0,3.0,2.0,False,210000.0
san isidro,Comprar,departamento,537.0,-77.04879629999998,-12.097923300000001,6.0,4.0,4.0,3.0,False,330000.0
san isidro,Comprar,departamento,4.0,-77.01306600000001,-12.103682516598125,3.0,3.0,3.0,4.0,False,179000.0
san isidro,Comprar,departamento,195.0,-77.050135,-12.096656811672167,6.0,2.0,3.0,3.0,False,76911.338
lince,Alquilar,departamento,125.0,-77.037203,-12.090681607613288,10.0,2.0,2.0,1.0,False,1000.0
miraflores,Alquilar,departamento,75.0,-77.0289646,-12.127882199999998,8.0,2.0,2.0,2.0,False,165000.0
san borja,Comprar,casa,45.0,-76.996105,-12.089883500000001,50.0,4.0,5.0,4.0,False,590.0
villa el salvador,Comprar,casa,84.0,-76.95463690000001,-12.2149339,0.0,2.0,4.0,0.0,False,659.24
villa el salvador,Comprar,casa,179.0,-76.94450119999998,-12.2259308,18.0,2.0,4.0,0.0,False,292000.0
