location.district,operation_type.name,property_type.name,usd_price,total_area,years_old,bathrooms,bedrooms,garages,has_swimming_pool,lon,lat
miraflores,Comprar,departamento,194732.184,120.0,13.0,2.0,3.0,2.0,False,-12.1307275,-77.00542829999999
jesus maria,Alquilar,local comercial,2000.0,300.0,41.0,2.0,3.0,4.0,False,-12.0716586,-77.0388703
santiago de surco,Comprar,departamento,434365.939,260.0,7.0,3.0,3.0,2.0,False,-12.1317997,-77.01259639999999
lince,Comprar,departamento,104501.755,71.0,0.0,2.0,3.0,0.0,False,-12.0857485,-77.0286983
miraflores,Comprar,departamento,355000.0,150.0,4.0,2.0,3.0,2.0,False,-12.1121584,-77.0455343
miraflores,Comprar,departamento,245000.0,95.0,12.0,2.0,2.0,1.0,False,-12.1263178,-77.0350904
miraflores,Alquilar,departamento,850.0,85.0,11.0,2.0,1.0,1.0,False,-12.1278387,-77.029808
lince,Comprar,departamento,87000.0,60.0,2.0,1.0,1.0,0.0,False,-12.0648969,-77.0574075
san isidro,Comprar,departamento,280000.0,128.0,0.0,3.0,3.0,1.0,False,-12.1029756,-77.0376828
san isidro,Alquilar,departamento,988.0,146.0,5.0,2.0,3.0,1.0,False,-12.0941455,-77.04732810000002
santiago de surco,Comprar,departamento,220000.0,128.0,11.0,3.0,3.0,2.0,False,-12.1288893,-76.9764124
miraflores,Alquilar,local comercial,3300.0,260.0,4.0,2.0,1.0,0.0,False,-12.1101832,-77.04884659999999
santiago de surco,Comprar,departamento,140000.0,81.0,27.0,1.0,2.0,0.0,False,-12.1049319,-76.967945
santiago de surco,Alquilar,departamento,550.0,80.0,15.0,2.0,3.0,1.0,False,-12.1084644,-76.9568175
santiago de surco,Comprar,departamento,293000.0,200.0,13.0,3.0,5.0,3.0,False,-12.106970656026897,-76.960621
santiago de surco,Alquilar,departamento,573.783,107.0,15.0,2.0,3.0,1.0,False,-12.118315300200967,-76.98904
santiago de surco,Comprar,casa,690000.0,475.0,22.0,4.0,4.0,3.0,False,-12.1075323,-76.963899
santiago de surco,Comprar,casa,475000.0,265.0,6.0,4.0,4.0,4.0,False,-12.105996143038137,-76.958973
santiago de surco,Comprar,departamento,130000.0,78.0,16.0,2.0,2.0,1.0,False,-12.107157088351677,-76.958384
santiago de surco,Comprar,departamento,158000.0,85.0,17.0,2.0,3.0,1.0,False,-12.1096521,-76.96922479999999
san isidro,Alquilar,departamento,775.0,122.0,8.0,2.0,3.0,0.0,False,-12.100935377432524,-77.012745
san borja,Alquilar,departamento,2200.0,302.0,12.0,3.0,3.0,2.0,True,-12.108543176224789,-76.987673
magdalena,Comprar,departamento,420000.0,143.0,7.0,3.0,3.0,2.0,True,-12.0961834,-77.05722229999999
lurin,Alquilar,departamento,292.996,70.0,0.0,1.0,2.0,0.0,False,-12.3102461,-76.83941039999999
san isidro,Alquilar,casa,1500.0,210.0,31.0,2.0,3.0,1.0,False,-12.1011983,-77.0302016
san isidro,Alquilar,oficina,1500.0,210.0,31.0,2.0,3.0,1.0,False,-12.1011983,-77.0302016
lurin,Comprar,casa de playa,240000.0,199.0,10.0,5.0,6.0,2.0,False,-12.3065136,-76.847411
miraflores,Alquilar,departamento,976.652,135.0,5.0,3.0,2.0,1.0,False,-12.125033115359328,-77.035042
