,location.district,operation_type.name,property_type,build_area,longitud,latitud,years_old,bathrooms,bedrooms,garages,has_swimming_pool,usd_price
9702,san miguel,Alquilar,departamento,127.0,-77.0809067,-12.092638800000001,2.0,1.0,1.0,1.0,False,187000.0
9703,san juan de miraflores,Alquilar,casa,60.0,-76.9647023,-12.1652044,5.0,4.0,4.0,1.0,False,165000.0
9704,san isidro,Comprar,casa,87.0,-77.01470400000001,-12.097339999999999,5.0,5.0,5.0,4.0,False,1000.0
9705,san isidro,Comprar,casa,700.0,-77.01470400000001,-12.097339999999999,10.0,5.0,5.0,2.0,False,2750000.0
9706,los olivos,Alquilar,departamento,337.0,-77.0765645,-11.984043,1.0,1.0,1.0,0.0,False,560000.0
9707,los olivos,Comprar,departamento,217.0,-77.0732553,-11.9353364,8.0,2.0,3.0,0.0,False,590000.0
9708,santiago de surco,Comprar,casa,990.0,-76.9880677,-12.1569543,0.0,2.0,3.0,0.0,False,1190000.0
9709,magdalena,Comprar,departamento,120.0,-77.05917679999999,-12.0941095,1.0,2.0,3.0,1.0,False,439.0
9710,santiago de surco,Alquilar,casa,110.0,-76.9856523,-12.159777199999999,0.0,3.0,3.0,1.0,False,1000.0
9711,miraflores,Comprar,departamento,88.0,-77.03140639510649,-12.110224493773014,9.0,1.0,1.0,1.0,False,80000.0
9712,santiago de surco,Comprar,casa,71.0,-76.9915595,-12.130567,35.0,3.0,5.0,2.0,False,75137.0
9713,miraflores,Alquilar,departamento,115.0,-77.02605174418028,-12.129020094057033,9.0,2.0,3.0,1.0,False,586.0
9714,san isidro,Alquilar,departamento,500.0,-77.02168209999998,-12.0993731,7.0,2.0,2.0,1.0,False,3500.0
9715,barranco,Alquilar,departamento,120.0,-77.02065400000001,-12.149682,0.0,1.0,1.0,1.0,False,537.159
9716,miraflores,Alquilar,departamento,125.0,-77.02025520000001,-12.1260255,11.0,2.0,3.0,1.0,False,415000.0
9717,la molina,Comprar,departamento,125.0,-76.9416598,-12.103468099999999,7.0,2.0,3.0,1.0,False,1900.0
9718,miraflores,Comprar,departamento,128.0,-77.03003906353763,-12.126702921421659,35.0,1.0,2.0,1.0,False,1300.0
9719,san borja,Comprar,departamento,290.0,-77.00932329999998,-12.110168956349078,0.0,2.0,3.0,0.0,False,4500.0
9720,santiago de surco,Comprar,departamento,300.0,-76.98093631815794,-12.112922898059116,3.0,2.0,2.0,2.0,False,670000.0
9721,santiago de surco,Comprar,departamento,250.0,-76.96595063942567,-12.090873442960982,10.0,3.0,3.0,2.0,True,1000.0
9722,miraflores,Comprar,departamento,200.0,-77.0315061,-12.107688000000001,40.0,2.0,3.0,0.0,False,375000.0
9723,la molina,Comprar,departamento,283.0,-76.9569753,-12.086015199999999,27.0,3.0,3.0,1.0,False,396200.0
9724,san miguel,Alquilar,departamento,76.0,-77.1072334,-12.0804538,5.0,2.0,2.0,1.0,False,56157.485
9725,lince,Alquilar,departamento,75.0,-77.0337955,-12.0898196,3.0,1.0,1.0,1.0,False,124000.0
9726,lince,Alquilar,departamento,150.0,-77.0337955,-12.0898196,3.0,2.0,2.0,1.0,False,310000.0
9727,lince,Alquilar,departamento,200.0,-77.04651659999998,-12.0833209,5.0,2.0,3.0,1.0,False,1600.0
9728,lince,Alquilar,departamento,74.0,-77.04332219999998,-12.0897537,5.0,1.0,1.0,1.0,False,85000.0
9729,jesus maria,Alquilar,departamento,108.0,-77.0506498,-12.082524099999999,2.0,2.0,3.0,1.0,False,800.0
9730,miraflores,Alquilar,departamento,297.0,-77.03069197378845,-12.114867589892327,0.0,2.0,2.0,1.0,False,1880.0
9731,jesus maria,Alquilar,departamento,350.0,-77.05253359999999,-12.082902699999998,3.0,2.0,2.0,1.0,False,2800.0
9732,barranco,Alquilar,departamento,300.0,-77.01962639999998,-12.146814,12.0,1.0,3.0,0.0,False,2500.0
9733,santiago de surco,Alquilar,departamento,97.0,-76.97031677434387,-12.099883709526145,7.0,2.0,3.0,2.0,False,830.0
9734,miraflores,Comprar,departamento,100.0,-77.04798774935148,-12.115679174380574,30.0,3.0,4.0,0.0,False,720.0
9735,ate,Comprar,departamento,347.0,-76.98797370000001,-12.0789447,0.0,2.0,3.0,0.0,False,430000.0
9736,san isidro,Alquilar,departamento,125.0,-77.0413547,-12.1092257,5.0,2.0,2.0,1.0,False,285000.0
9737,miraflores,Alquilar,departamento,129.0,-77.0240607,-12.1307504,5.0,4.0,4.0,1.0,False,1200.0
9738,santiago de surco,Comprar,departamento,94.0,-76.98019260000002,-12.1160037,0.0,2.0,3.0,2.0,False,230000.0
9739,santiago de surco,Comprar,departamento,118.0,-76.96250117679062,-12.08612266757957,0.0,3.0,4.0,2.0,False,1518.0
9740,pueblo libre,Comprar,departamento,150.0,-77.06909198095094,-12.06987299387258,0.0,2.0,3.0,0.0,False,1600.0
9741,jesus maria,Alquilar,departamento,117.0,-77.05658665294798,-12.08195855972346,3.0,2.0,2.0,1.0,False,245000.0
9742,pueblo libre,Alquilar,departamento,50.0,-77.05444820000002,-12.0701315,3.0,2.0,3.0,1.0,False,158.706
9743,san borja,Alquilar,casa,150.0,-76.9915335,-12.098095599999999,10.0,4.0,5.0,4.0,False,345000.0
9744,ate,Comprar,departamento,182.0,-76.83640739999998,-11.997872000000001,4.0,2.0,3.0,0.0,False,4500.0
9745,santiago de surco,Alquilar,departamento,158.0,-76.9727977,-12.103394300000001,30.0,2.0,2.0,1.0,True,1000.0
9746,lima,Alquilar,departamento,77.0,-77.0362032,-12.0723915,3.0,2.0,3.0,0.0,False,186391.0
9747,santiago de surco,Alquilar,departamento,106.0,-76.9939691,-12.131651,15.0,2.0,3.0,1.0,False,174258.0
9748,jesus maria,Comprar,departamento,140.0,-77.04799600000003,-12.081676,4.0,2.0,3.0,1.0,False,178000.0
9749,miraflores,Alquilar,departamento,160.0,-77.03325727645209,-12.124431844107585,10.0,2.0,3.0,1.0,False,1002.0
9750,santiago de surco,Alquilar,departamento,400.0,-76.96961019999998,-12.1001326,12.0,2.0,2.0,1.0,False,724500.0
9751,miraflores,Alquilar,departamento,134.0,-77.0297538,-12.1286959,0.0,2.0,3.0,1.0,False,450000.0
9752,jesus maria,Alquilar,departamento,73.0,-77.05213306698931,-12.073400442449374,5.0,2.0,2.0,1.0,False,1.0
9753,san isidro,Comprar,departamento,69.0,-77.0304576613937,-12.091300163149679,4.0,2.0,3.0,1.0,False,76667.175
9754,miraflores,Comprar,departamento,908.0,-77.034295,-12.128462400000002,11.0,1.0,1.0,1.0,False,10000.0
9755,miraflores,Alquilar,departamento,160.0,-77.0400396,-12.122928300000002,2.0,2.0,2.0,2.0,False,950.0
9756,lince,Alquilar,departamento,103.0,-77.02686119999998,-12.0864703,6.0,2.0,3.0,0.0,False,1200.0
9757,san miguel,Comprar,departamento,47.0,-77.08712349999998,-12.074387199999999,16.0,2.0,3.0,1.0,False,115000.0
9758,jesus maria,Comprar,departamento,35.0,-77.055373,-12.078611,30.0,1.0,2.0,0.0,False,220.0
9759,los olivos,Comprar,departamento,80.0,-77.0865985,-11.9963026,4.0,2.0,4.0,0.0,False,358.0
9760,los olivos,Comprar,departamento,198.0,-77.083866,-11.9961295,4.0,2.0,4.0,0.0,False,845.0
9761,breña,Alquilar,departamento,1446.0,-77.0475873,-12.060995199999999,5.0,2.0,3.0,1.0,False,900000.0
9762,surquillo,Comprar,departamento,50.0,-77.0151798,-12.1179355,7.0,1.0,1.0,1.0,False,206.0
9763,santa anita,Comprar,departamento,30.0,-76.9553906,-12.0332321,2.0,1.0,4.0,0.0,False,306.0
9764,jesus maria,Comprar,departamento,80.0,-77.0537025,-12.0836936,13.0,3.0,2.0,0.0,False,227.0
9765,miraflores,Comprar,departamento,60.0,-77.03955699999999,-12.115409933056718,8.0,2.0,2.0,2.0,False,275.0
9766,miraflores,Comprar,departamento,300.0,-77.04382841506651,-12.113994146846824,10.0,1.0,1.0,1.0,False,966.0
9767,santiago de surco,Alquilar,departamento,80.0,-76.98259331719669,-12.115253890915316,7.0,2.0,2.0,2.0,False,331.0
9768,miraflores,Comprar,departamento,95.0,-77.033495,-12.1148634,7.0,4.0,3.0,0.0,True,413.0
9769,la molina,Comprar,casa,908.0,-76.95346933746316,-12.08903006335542,18.0,7.0,3.0,3.0,True,9000.0
9770,san isidro,Comprar,departamento,840.0,-77.02975525078739,-12.093661459061325,3.0,3.0,3.0,2.0,False,4113.0
9771,chaclacayo,Comprar,casa,243.0,-76.74776386796873,-11.976778594341194,12.0,3.0,3.0,6.0,True,1800.0
9772,san isidro,Alquilar,departamento,130.0,-77.03601761929303,-12.103480922390265,14.0,2.0,1.0,0.0,False,1300.0
9773,san isidro,Alquilar,departamento,30.0,-77.03789555396729,-12.10807968700005,5.0,3.0,3.0,1.0,False,399.0
9774,miraflores,Alquilar,departamento,343.0,-77.03620800370481,-12.11278453323601,5.0,1.0,1.0,1.0,False,3300.0
9775,miraflores,Alquilar,departamento,64.0,-77.03617576238514,-12.112755597450874,6.0,2.0,1.0,1.0,False,850.0
9776,san isidro,Alquilar,departamento,80.0,-77.03782045211483,-12.108069196841052,6.0,1.0,1.0,1.0,False,850.0
9777,santiago de surco,Comprar,departamento,128.0,-76.990421,-12.118134,4.0,2.0,2.0,2.0,False,1700.0
9778,san isidro,Alquilar,departamento,192.0,-77.0377989944427,-12.108090177158651,6.0,3.0,3.0,2.0,False,2550.0
9779,san isidro,Alquilar,departamento,400.0,-77.05579932593385,-12.095685112001462,30.0,2.0,3.0,1.0,False,2750.0
9780,santiago de surco,Comprar,departamento,600.0,-76.9732999,-12.0919199,8.0,2.0,3.0,2.0,True,5500.0
9781,miraflores,Alquilar,casa,93.0,-77.02458550005612,-12.122085083347054,5.0,6.0,3.0,2.0,False,570.0
9782,san isidro,Comprar,casa,93.0,-77.017214,-12.094720381367312,0.0,3.0,3.0,3.0,True,125000.0
9783,surquillo,Alquilar,departamento,45.0,-77.0071198,-12.115555,5.0,3.0,3.0,1.0,False,600.0
9784,carabayllo,Comprar,casa,530.0,-77.0210682,-11.881015,10.0,4.0,7.0,1.0,False,1464.978
9785,magdalena,Comprar,departamento,200.0,-77.07142259999998,-12.0910146,5.0,1.0,2.0,0.0,False,3800.0
9786,miraflores,Comprar,departamento,234.0,-77.0337893,-12.125127,11.0,2.0,3.0,1.0,False,475000.0
9787,miraflores,Comprar,departamento,170.0,-77.03394286137696,-12.125560213431664,9.0,3.0,3.0,2.0,False,250000.0
9788,lince,Alquilar,departamento,200.0,-77.0404515,-12.0882144,3.0,2.0,1.0,1.0,False,325000.0
9789,san miguel,Alquilar,departamento,70.0,-77.0866053,-12.0802023,10.0,1.0,2.0,1.0,False,62986.0
9790,san isidro,Comprar,departamento,1154.0,-77.05259649999998,-12.106613900000001,23.0,2.0,2.0,2.0,False,1052000.0
9791,santiago de surco,Comprar,departamento,655.0,-76.96915469999998,-12.0974829,8.0,2.0,3.0,1.0,False,152775.0
9792,san isidro,Alquilar,departamento,145.0,-77.0380445,-12.1006103,6.0,3.0,3.0,1.0,False,1245.0
9793,san isidro,Alquilar,departamento,75.0,-77.0447454,-12.095836300000002,10.0,3.0,2.0,1.0,False,389.0
9794,san borja,Alquilar,departamento,66.0,-76.9988786,-12.105733500000001,24.0,2.0,2.0,1.0,False,66000.0
9795,san isidro,Comprar,departamento,200.0,-77.0447454,-12.095836300000002,10.0,2.0,2.0,1.0,False,289000.0
9796,surquillo,Alquilar,departamento,355.0,-77.012222,-12.1122464,5.0,1.0,1.0,1.0,True,4000.0
9797,miraflores,Alquilar,departamento,150.0,-77.03196220000002,-12.1095906,10.0,1.0,1.0,0.0,False,325000.0
9798,santiago de surco,Comprar,departamento,172.0,-76.96338109999999,-12.0830969,9.0,4.0,4.0,2.0,False,290000.0
9799,miraflores,Alquilar,departamento,100.0,-77.03336750000001,-12.111180099999999,3.0,3.0,1.0,1.0,False,317.412
9800,san miguel,Alquilar,departamento,75.0,-77.09992779999999,-12.0761768,8.0,2.0,3.0,1.0,False,137500.0
9801,miraflores,Alquilar,departamento,40.0,-77.03109529999998,-12.1274739,5.0,2.0,3.0,1.0,False,31741.187
9802,san isidro,Comprar,departamento,189.0,-77.0549551,-12.0987201,6.0,3.0,2.0,0.0,False,270000.0
9803,san isidro,Alquilar,departamento,81.0,-77.02807209999999,-12.0963327,10.0,1.0,1.0,1.0,False,445.0
9804,san miguel,Comprar,departamento,127.0,-77.09992779999999,-12.0761768,5.0,2.0,3.0,1.0,False,329000.0
9805,san isidro,Alquilar,departamento,100.0,-77.01961440000001,-12.090443400000002,15.0,1.0,1.0,1.0,True,319328.0
9806,miraflores,Comprar,departamento,60.0,-77.02870807198764,-12.113776504600096,6.0,4.0,3.0,2.0,False,634.824
9807,miraflores,Alquilar,departamento,100.0,-77.03806390000001,-12.115513900000002,5.0,2.0,3.0,2.0,False,950.0
9808,lince,Alquilar,departamento,140.0,-77.02807209999999,-12.0963327,0.0,1.0,1.0,1.0,False,800.0
9809,miraflores,Alquilar,departamento,101.0,-77.02956410000002,-12.1278371,5.0,3.0,2.0,1.0,False,711.0
9810,lince,Alquilar,departamento,107.0,-77.0471926,-12.0871871,6.0,1.0,1.0,1.0,False,210000.0
9811,lince,Comprar,departamento,860.0,-77.0470809,-12.0880236,5.0,1.0,1.0,1.0,False,860.0
9812,la molina,Comprar,departamento,154.0,-76.9403507,-12.1098088,8.0,2.0,3.0,1.0,False,416.0
9813,san miguel,Comprar,departamento,200.0,-77.09453428280335,-12.081069605407247,5.0,2.0,3.0,1.0,False,122.081
9814,san miguel,Comprar,departamento,213.0,-77.08443170000001,-12.088187,0.0,2.0,2.0,0.0,False,440000.0
9815,san juan de lurigancho,Comprar,casa,210.0,-77.00836370000002,-11.9906728,5.0,5.0,8.0,1.0,False,380000.0
9816,lince,Alquilar,casa,503.0,-77.04455300000001,-12.08868442724185,0.0,6.0,3.0,8.0,False,1000000.0
9817,breña,Comprar,departamento,170.0,-77.0425017,-12.0553754,14.0,1.0,2.0,0.0,False,440000.0
9818,lurin,Alquilar,departamento,145.0,-76.8346596,-12.3239455,15.0,2.0,3.0,1.0,False,337000.0
9819,la molina,Alquilar,casa,183.0,-76.92993320000001,-12.0853136,11.0,3.0,4.0,3.0,True,7500.0
9820,santiago de surco,Comprar,departamento,160.0,-76.96935529999998,-12.114108,29.0,2.0,3.0,1.0,False,360000.0
9821,la molina,Comprar,casa,94.0,-76.9088443,-12.0874226,5.0,3.0,4.0,2.0,False,129688.0
9822,carabayllo,Comprar,casa,120.0,-77.04165079999999,-11.8409309,10.0,2.0,3.0,0.0,False,290000.0
9823,miraflores,Alquilar,departamento,325.0,-77.0369266,-12.122258800000001,6.0,2.0,1.0,1.0,False,2563.711
9824,san borja,Comprar,departamento,200.0,-76.98220836190183,-12.096534303138741,0.0,3.0,3.0,2.0,False,680000.0
9825,san isidro,Alquilar,departamento,51.0,-77.04302870000001,-12.0932599,8.0,3.0,3.0,1.0,True,115000.0
9826,miraflores,Alquilar,departamento,160.0,-77.03675659999998,-12.1190038,5.0,4.0,3.0,0.0,False,360000.0
9827,santiago de surco,Alquilar,departamento,340.0,-77.0055647,-12.1305835,5.0,3.0,3.0,1.0,False,839000.0
9828,ate,Alquilar,departamento,92.0,-76.97474729999998,-12.0671243,1.0,1.0,2.0,0.0,False,329.62
9829,san luis,Comprar,casa,127.0,-76.99980409999998,-12.0788729,20.0,3.0,4.0,2.0,False,827.0
9830,la molina,Alquilar,departamento,120.0,-76.9377698,-12.0704237,6.0,1.0,1.0,0.0,False,231.955
9831,los olivos,Comprar,casa,207.0,-76.91978209999998,-12.1906187,8.0,3.0,6.0,0.0,False,520000.0
9832,miraflores,Comprar,departamento,89.0,-77.03586240000001,-12.1121866,18.0,3.0,3.0,0.0,False,396.0
9833,san miguel,Alquilar,departamento,160.0,-77.0788311,-12.0930734,4.0,2.0,2.0,0.0,False,285000.0
9834,san martin de porres,Comprar,departamento,920.0,-77.07524029999998,-12.018870800000002,7.0,1.0,3.0,0.0,False,13972.0
9835,santiago de surco,Alquilar,departamento,90.0,-76.98245709999998,-12.1312961,4.0,1.0,3.0,0.0,False,850.0
9836,miraflores,Alquilar,departamento,84.0,-77.025981,-12.126032,5.0,1.0,1.0,0.0,False,170000.0
9837,ate,Alquilar,departamento,64.0,-76.98374770000001,-12.0769909,20.0,1.0,3.0,1.0,False,600.0
9838,santiago de surco,Comprar,departamento,226.0,-76.97165550000001,-12.101333300000002,0.0,2.0,2.0,1.0,False,1280000.0
9839,surquillo,Comprar,departamento,25.0,-77.02564890000001,-12.1183115,0.0,2.0,2.0,1.0,False,313.0
9840,surquillo,Comprar,departamento,43.0,-77.02564890000001,-12.1183115,0.0,2.0,2.0,0.0,False,331.0
9841,lince,Alquilar,departamento,90.0,-77.032593,-12.082152620601368,0.0,2.0,3.0,1.0,False,732.489
9842,surquillo,Alquilar,departamento,405.0,-77.0082615,-12.1154025,7.0,2.0,3.0,1.0,False,1700.0
9843,pueblo libre,Comprar,departamento,66.0,-77.0614688,-12.0715258,17.0,2.0,2.0,1.0,False,75873.0
9844,lince,Alquilar,departamento,20.0,-77.0290485,-12.088484800000002,0.0,1.0,1.0,0.0,False,258.0
9845,santiago de surco,Comprar,casa,55.0,-76.9803761,-12.1237859,10.0,3.0,3.0,2.0,False,375.0
9846,san isidro,Alquilar,departamento,55.0,-77.0345698,-12.095165699999999,0.0,1.0,1.0,0.0,False,389.0
9847,lince,Alquilar,departamento,100.0,-77.0409569,-12.088568800000001,11.0,2.0,3.0,1.0,False,900.0
9848,la molina,Comprar,casa,250.0,-76.928234,-12.082019599999999,30.0,5.0,3.0,2.0,False,1350.0
9849,chorrillos,Comprar,casa,143.0,-77.006336,-12.198101753074145,15.0,3.0,3.0,1.0,False,320000.0
9850,breña,Comprar,departamento,155.0,-77.0469141,-12.0592417,3.0,2.0,3.0,0.0,True,320000.0
9851,lima,Comprar,departamento,115.0,-77.07783855410617,-12.056915690339293,14.0,2.0,0.0,0.0,False,224400.0
9852,breña,Comprar,departamento,100.0,-77.05066126239801,-12.058471975660998,9.893229,2.0,3.0,0.0,True,220000.0
9853,lima,Comprar,departamento,100.0,-77.07781173201599,-12.056962905074133,14.0,2.0,2.0,0.0,False,270000.0
